title,release_date,popularity,genre_ids,vote_average
The Wolf of Wall Street,2013-12-25,97.115,"[80, 18, 35]",8.035
Pirates of the Caribbean: On Stranger Tides,2011-05-15,116.606,"[12, 28, 14]",6.543
Ratatouille,2007-06-28,93.346,"[16, 35, 10751, 14]",7.816
Inception,2010-07-15,95.748,"[28, 878, 12]",8.367
"Ruby Gillman, Teenage Kraken",2023-06-28,106.377,"[16, 10751, 14, 35]",7.3
Cars 2,2011-06-11,102.845,"[16, 10751, 12, 35]",6.099
Hotel Transylvania: Transformania,2022-02-25,96.067,"[16, 35, 10751, 12, 14]",7.005
The Equalizer,2014-09-24,100.509,"[53, 28, 80]",7.268
The Zone of Interest,2023-11-03,97.962,"[18, 36, 10752]",7.406
"Miraculous: Ladybug & Cat Noir, The Movie",2023-07-05,97.591,"[16, 10402, 14, 28, 10749, 10751, 12]",7.7
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,85.264,"[28, 12, 35]",6.868
The Engineer,2023-08-18,98.487,"[28, 53, 9648]",6.455
Hypnotic,2023-05-11,101.046,"[9648, 53, 28, 878]",6.333
Pirates of the Caribbean: Dead Man's Chest,2006-07-06,112.94,"[12, 14, 28]",7.351
Fall,2022-08-11,100.164,[53],7.215
Mírame,2021-08-20,91.569,[27],6.844
Iron Man 2,2010-04-28,98.125,"[12, 28, 878]",6.838
Avatar,2009-12-15,105.095,"[28, 12, 14, 878]",7.579
How to Train Your Dragon: The Hidden World,2019-01-03,80.081,"[16, 10751, 12]",7.752
Salawahan,2024-02-02,87.582,"[18, 53]",0.0
The Lorax,2012-03-01,74.746,"[16, 10751]",6.489
Fury,2014-10-15,89.57,"[10752, 18, 28]",7.525
The Next 365 Days,2022-08-19,87.99,"[10749, 18]",6.473
Twilight,2008-11-20,93.704,"[14, 18, 10749]",6.291
Shrek Forever After,2010-05-16,80.683,"[35, 12, 14, 16, 10751]",6.363
Fall,2022-08-11,100.164,[53],7.215
Everything Everywhere All at Once,2022-03-24,94.29,"[28, 12, 878]",7.808
American Fiction,2023-11-10,99.718,"[35, 18]",7.259
Justice League,2017-11-15,86.69,"[28, 12, 878]",6.093
Sonic the Hedgehog 2,2022-03-30,99.431,"[28, 12, 10751, 35]",7.533
Toy Story 2,1999-10-30,99.291,"[16, 35, 10751]",7.592
Carl's Date,2023-06-15,83.721,"[16, 12, 10751]",7.545
Venom: Let There Be Carnage,2021-09-30,98.343,"[878, 28, 12]",6.812
The Avengers,2012-04-25,98.644,"[878, 28, 12]",7.713
20th Century Girl,2022-10-06,94.274,"[10749, 18]",8.213
Cars 3,2017-06-15,101.232,"[16, 12, 35, 10751]",6.852
Iron Man 2,2010-04-28,98.125,"[12, 28, 878]",6.838
Priscilla,2023-10-27,92.635,"[18, 10749]",6.978
The Last Voyage of the Demeter,2023-08-09,69.243,"[53, 27]",7.033
The Godfather,1972-03-14,97.604,"[18, 80]",8.707
Baghead,2023-12-28,97.589,[27],7.4
Beauty and the Beast,1991-10-22,97.386,"[10749, 10751, 16, 14]",7.735
Dungeons & Dragons: Honor Among Thieves,2023-03-23,91.545,"[12, 14, 35]",7.385
Zootopia,2016-02-11,85.474,"[16, 12, 10751, 35]",7.748
Suncoast,2024-02-02,96.442,"[18, 35]",7.3
Beauty and the Beast,1991-10-22,97.386,"[10749, 10751, 16, 14]",7.735
The Lord of the Rings: The Return of the King,2003-12-01,77.365,"[12, 14, 28]",8.477
The Emperor's New Groove,2000-12-15,89.364,"[12, 16, 35, 10751, 14]",7.552
Venom: Let There Be Carnage,2021-09-30,98.343,"[878, 28, 12]",6.812
Predator,1987-06-12,104.557,"[878, 28, 12, 53]",7.518
20th Century Girl,2022-10-06,94.274,"[10749, 18]",8.213
Babylon 5: The Road Home,2023-08-15,92.008,"[16, 878, 28, 12]",6.852
Cars 3,2017-06-15,101.232,"[16, 12, 35, 10751]",6.852
Priscilla,2023-10-27,92.635,"[18, 10749]",6.978
